,DATES,DAYS,Unnamed: 2
0,August 01,Sunday,Application for degree for January and February 2022 begins
1,August 18,Wednesday,Last day to apply for Study Abroad
2,August 24,Tuesday,Last day of Registration;  Last day to file ePermit for the Fall 2021;  Last day to drop classes for 100% tuition refund;
3,August 25,Wednesday,Start of Fall Term;  Classes begin;  Initial Registration Appeals begin;
4,August 25 - 31,Wednesday - Tuesday,Change of program period; late fees apply
5,August 26,Thursday,Last day for Independent Study
6,August 28,Saturday,First day of Saturday Classes
7,August 31,Tuesday,Last day to add a class to an existing enrollment;  Last day for 75% tuition refund;  Financial Aid Certification Enrollment Status date;  Last day to apply for Audit option;  Last day to drop without the grade of 'WD';  Initial Registration Appeals end;
8,September 01,Wednesday,Verification of Enrollment rosters available to faculty;  Course Withdrawal drop period begins (A grade of 'WD' is assigned to students who officially drop a class);
9,September 03 - 08,Friday - Wednesday,No classes scheduled
10,September 06,Monday,College Closed;  Last day for 50% tuition refund;
11,September 09,Thursday,Freshman Convocation
12,September 14,Tuesday,Last day for 25% tuition refund;  Census date;  Last day to change or declare a major/minor to be effective in Fall 2021;  Last day to drop without the grade of 'W';  Course Withdrawal drop period ends (Last day for 'WD' grades);  Verification of Enrollment Rosters Dues from Faculty;
13,September 15,Wednesday,Assignment of 'WN' grades for non-attendance;  Course Withdrawal period begins (A grade of 'W' is assigned to students who officially drop a class) - No Refund;  100% Tuition obligation for course drops;
14,September 15 - 16,Wednesday - Thursday,No classes scheduled
15,September 23,Thursday,Last day to submit proof of immunization for NYS residents;
16,September 24,Friday,Assignment of 'WA' grades for immunization non-compliance
17,October 01,Friday,Advising month begins for Spring and Winter enrollment
18,October 08,Friday,Deadline for filing application for degree for January and February 2022;  Last day to submit proof of immunization for non-NYS residents;
19,October 11,Monday,College Closed
20,November 01,Monday,'INC' grades for Spring 2021 and Winter 2021 for Undergraduate students convert to 'FIN';  'INC' grades for Summer 2020 and Fall 2020 for Graduate students convert to 'FIN';
21,November 02,Tuesday,Registration appointments for Winter and Spring 2022 begin for continuing students. Check your CUNYFirst account for your appointment date and time.
22,November 04,Thursday,Last day to file for P/NC option
23,November 06,Saturday,60% Date of the term
24,November 23,Tuesday,'INC' grades for Summer 2021 for Undergraduate students convert to 'FIN'
25,November 25 - 28,Thursday - Sunday,College Closed
26,December 11,Saturday,Last day of Saturday Classes
27,December 13,Monday,Course Withdrawal period ends (Last day to withdraw from a class with the grade of 'W');  Last day of Classes;
28,December 14,Tuesday,Reading Day
29,December 15 - 21,Wednesday - Tuesday,Final Examinations
30,December 21,Tuesday,End of Term
31,December 24 - 25,Friday - Saturday,College Closed
32,December 27,Monday,College Closed
33,December 28,Tuesday,Final Grade Submission Deadline for Fall 2021
34,December 31,Friday,College Closed
35,"January 1, 2022",Saturday,College Closed;  Fall 2021 Degree Conferral Date;
